title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
"Mathletics: How Gamblers, Managers, and Fans Use Mathematics in Sports, Second Edition","[ Wayne L. Winston, Scott Nestler, et al.]",18.99, 18.04 - 18.99 ,608,4.7,29,80%,11%,4%,4%,,6.25 x 1 x 9.25 inches,1.9 pounds,English,Princeton University Press, ,/Mathletics-Gamblers-Managers-Mathematics-Sports/dp/0691177627/ref=sr_1_153?keywords=data+analysis&qid=1671164670&sr=8-153,https://www.amazon.com/Mathletics-Gamblers-Managers-Mathematics-Sports/dp/0691177627/ref=sr_1_153?keywords=data+analysis&qid=1671164670&sr=8-153
Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (All Things Data),,14.49,14.49,150,4.2,31,61%,16%,14%,4%,5%,5.5 x 0.38 x 8.5 inches,7 ounces,English,Kenneth Michael Fornari ,978-1777967130,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A043180434JG59ULMA54V&qualifier=1671164670&id=7576373399363255&widgetName=sp_mtf&url=%2FEverything-Analytics-Beginners-Guide-Literacy%2Fdp%2F1777967139%2Fref%3Dsr_1_161_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-161-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A043180434JG59ULMA54V&qualifier=1671164670&id=7576373399363255&widgetName=sp_mtf&url=%2FEverything-Analytics-Beginners-Guide-Literacy%2Fdp%2F1777967139%2Fref%3Dsr_1_161_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-161-spons%26psc%3D1
Data Analysis for Continuous School Improvement: For Continuous School Improvement,[ Victoria L. Bernhardt],46.06, 39.96 - 46.06 ,426,4.6,248,74%,14%,9%,2%,2%,8.46 x 0.96 x 10.98 inches,2.54 pounds,English,Routledge,978-1138294622,/Data-Analysis-Continuous-School-Improvement/dp/1138294624/ref=sr_1_152?keywords=data+analysis&qid=1671164670&sr=8-152,https://www.amazon.com/Data-Analysis-Continuous-School-Improvement/dp/1138294624/ref=sr_1_152?keywords=data+analysis&qid=1671164670&sr=8-152
An Introduction to Statistical Methods and Data Analysis,"[ R. Lyman Ott,  and , Micheal T. Longnecker]",154.94, 42.27 - 154.94 ,1296,4.2,165,62%,17%,6%,7%,8%,10 x 2 x 12 inches,5.1 pounds,English,Cengage Learning,978-1305269477,/Introduction-Statistical-Methods-Data-Analysis/dp/1305269470/ref=sr_1_151?keywords=data+analysis&qid=1671164670&sr=8-151,https://www.amazon.com/Introduction-Statistical-Methods-Data-Analysis/dp/1305269470/ref=sr_1_151?keywords=data+analysis&qid=1671164670&sr=8-151
"Python for Finance Cookbook: Over 80 powerful recipes for effective financial data analysis, 2nd Edition",[ Eryk Lewinson],44.99,44.99,754,,,,,,,,,1.11 pounds,English,Packt Publishing - ebooks Account ,978-1803243191,/Python-Finance-Cookbook-effective-financial/dp/1803243198/ref=sr_1_128?keywords=data+analysis&qid=1671164661&sr=8-128,https://www.amazon.com/Python-Finance-Cookbook-effective-financial/dp/1803243198/ref=sr_1_128?keywords=data+analysis&qid=1671164661&sr=8-128
Excel Formulas (Quick Study Computer),[ Inc. BarCharts],5.95,5.95,6,4.6,"2,451",73%,15%,8%,2%,2%,8.5 x 11 x 0.06 inches,2.4 ounces,English,QuickStudy,978-1423221692,/Excel-Formulas-Quick-Study-Computer/dp/1423221699/ref=sr_1_127?keywords=data+analysis&qid=1671164661&sr=8-127,https://www.amazon.com/Excel-Formulas-Quick-Study-Computer/dp/1423221699/ref=sr_1_127?keywords=data+analysis&qid=1671164661&sr=8-127
Hands-On Healthcare Data: Taming the Complexity of Real-World Data,[ Andrew Nguyen],57.28,57.28,242,5,1,100%,,,,,6.8 x 0.6 x 9.1 inches,14.1 ounces,English,O'Reilly Media,978-1098112929,/Hands-Healthcare-Data-Complexity-Real-World/dp/109811292X/ref=sr_1_125?keywords=data+analysis&qid=1671164661&sr=8-125,https://www.amazon.com/Hands-Healthcare-Data-Complexity-Real-World/dp/109811292X/ref=sr_1_125?keywords=data+analysis&qid=1671164661&sr=8-125
Qualitative Data Analysis with ATLAS.ti,[ Susanne Friese],49.99,49.99,344,4.7,33,83%,8%,5%,4%,,6.69 x 0.78 x 9.53 inches,1.3 pounds,English,SAGE Publications Ltd,978-1526458926,/Qualitative-Data-Analysis-with-ATLAS-ti/dp/1526458926/ref=sr_1_126?keywords=data+analysis&qid=1671164661&sr=8-126,https://www.amazon.com/Qualitative-Data-Analysis-with-ATLAS-ti/dp/1526458926/ref=sr_1_126?keywords=data+analysis&qid=1671164661&sr=8-126
Excel 2023: How to Become a Master of Microsoft Excel in Less Than 7 Minutes a Day with the Most Updated Guide (Step-By-Step Tutorial) + Bonus: The 10 Most Essential Formulas Requested by any Company,[ Ken Shepard],17.9,17.9,201,4.9,180,92%,6%,2%,,,6 x 0.46 x 9 inches,10.5 ounces,English,Independently published ,979-8357759511,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A008379748G54NR9SPP7&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-2023-Microsoft-Step-Step%2Fdp%2FB0BHKLZBD5%2Fref%3Dsr_1_148_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-148-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A008379748G54NR9SPP7&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-2023-Microsoft-Step-Step%2Fdp%2FB0BHKLZBD5%2Fref%3Dsr_1_148_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-148-spons%26psc%3D1
Excel 2022: The Ultimate Guide for Beginners to Master Excel Functions and Formulas in Less than 5 Minutes with the Latest Step-by-Step Tutorials and Practical Examples. Includes Tips and Tricks,[ Barry Adams],17.95,17.95,149,4.3,104,60%,20%,14%,2%,3%,6 x 0.34 x 9 inches,9.9 ounces,English,Independently published ,979-8357294340,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A00842702M5GU5N1JECEK&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-2022-Beginners-Step-Step%2Fdp%2FB0BHLCJG16%2Fref%3Dsr_1_147_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-147-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A00842702M5GU5N1JECEK&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-2022-Beginners-Step-Step%2Fdp%2FB0BHLCJG16%2Fref%3Dsr_1_147_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-147-spons%26psc%3D1
"Excel: The Most Comprehensive Guide to Learn All Formulas and Functions in Just 1 WEEK with Step-by-Step Explanations, Practical Examples, & Picture Demonstrations.",[ Kevin Cooper],19.97,19.97,168,4.9,81,97%,3%,,,,8.5 x 0.38 x 11 inches,1.11 pounds,English,Independently published ,979-8366746908,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A08933011P9T3DI1112WC&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-Comprehensive-Step-Step-Demonstrations%2Fdp%2FB0BNV6SQ3N%2Fref%3Dsr_1_146_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-146-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A08933011P9T3DI1112WC&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-Comprehensive-Step-Step-Demonstrations%2Fdp%2FB0BNV6SQ3N%2Fref%3Dsr_1_146_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-146-spons%26psc%3D1
Multivariate Data Analysis,,93.63, 77.98 - 93.63 ,,4.4,151,68%,21%,3%,2%,6%,7.72 x 1.18 x 10.24 inches,3.3 pounds,English,Cengage Learning EMEA,978-1473756540,/Multivariate-Analysis-William-author-Anderson/dp/1473756545/ref=sr_1_124?keywords=data+analysis&qid=1671164661&sr=8-124,https://www.amazon.com/Multivariate-Analysis-William-author-Anderson/dp/1473756545/ref=sr_1_124?keywords=data+analysis&qid=1671164661&sr=8-124
"The Decision Maker's Handbook to Data Science: A Guide for Non-Technical Executives, Managers, and Founders",[ Stylianos Kampakis],18.04,18.04,164,4.6,6,79%,21%,,,,6.1 x 0.37 x 9.25 inches,1 pounds,English,Apress,978-1484254936,/Decision-Makers-Handbook-Data-Science/dp/1484254937/ref=sr_1_121?keywords=data+analysis&qid=1671164661&sr=8-121,https://www.amazon.com/Decision-Makers-Handbook-Data-Science/dp/1484254937/ref=sr_1_121?keywords=data+analysis&qid=1671164661&sr=8-121
"The Art of Statistical Thinking: Detect Misinformation, Understand the World Deeper, and Make Better Decisions. (Advanced Thinking Skills Book 3)",,4.99,4.99,178,4.4,13,50%,39%,11%,,,,,English,ARB Publications,,/Art-Statistical-Thinking-Misinformation-Understand-ebook/dp/B0BJ7QGMBL/ref=sr_1_120?keywords=data+analysis&qid=1671164661&sr=8-120,https://www.amazon.com/Art-Statistical-Thinking-Misinformation-Understand-ebook/dp/B0BJ7QGMBL/ref=sr_1_120?keywords=data+analysis&qid=1671164661&sr=8-120
The Analysis of Biological Data,"[ Michael C. Whitlock,  and , Dolph Schluter]",146.12, 109.94 - 146.12 ,848,4.3,80,76%,6%,3%,4%,11%,7.73 x 1.24 x 9.04 inches,2.87 pounds,English,W. H. Freeman,978-1319226237,/Analysis-Biological-Data-Michael-Whitlock/dp/131922623X/ref=sr_1_123?keywords=data+analysis&qid=1671164661&sr=8-123,https://www.amazon.com/Analysis-Biological-Data-Michael-Whitlock/dp/131922623X/ref=sr_1_123?keywords=data+analysis&qid=1671164661&sr=8-123
Python for Data Science For Dummies,"[ John Paul Mueller,  and , Luca Massaron]",19.89, 18.90 - 19.89 ,496,4.4,194,62%,22%,9%,3%,3%,7.4 x 1.2 x 9.2 inches,2.01 pounds,English,For Dummies, ,/Python-Data-Science-Dummies-Computer/dp/1119547628/ref=sr_1_122?keywords=data+analysis&qid=1671164661&sr=8-122,https://www.amazon.com/Python-Data-Science-Dummies-Computer/dp/1119547628/ref=sr_1_122?keywords=data+analysis&qid=1671164661&sr=8-122
Blueprints for Text Analytics Using Python: Machine Learning-Based Solutions for Common Real World (NLP) Applications,"[ Jens Albrecht, Sidharth Ramachandran, et al.]",48.99,48.99,Extract data from APIs and web ,4.8,36,82%,18%,,,,7 x 0.75 x 9.25 inches,1.5 pounds,English,O'Reilly Media, ,/Blueprints-Text-Analytics-Using-Python/dp/149207408X/ref=sr_1_118?keywords=data+analysis&qid=1671164661&sr=8-118,https://www.amazon.com/Blueprints-Text-Analytics-Using-Python/dp/149207408X/ref=sr_1_118?keywords=data+analysis&qid=1671164661&sr=8-118
Data Analysis in Qualitative Research: Theorizing with Abductive Analysis,"[ Stefan Timmermans,  and , Iddo Tavory]",28.1, 20.00 - 28.10 ,208,4.4,3,36%,64%,,,,6 x 0.6 x 9 inches,9.6 ounces,English,University of Chicago Press,978-0226817736,/Data-Analysis-Qualitative-Research-Theorizing/dp/0226817733/ref=sr_1_117?keywords=data+analysis&qid=1671164661&sr=8-117,https://www.amazon.com/Data-Analysis-Qualitative-Research-Theorizing/dp/0226817733/ref=sr_1_117?keywords=data+analysis&qid=1671164661&sr=8-117
"The Economics of Data, Analytics, and Digital Transformation: The theorems, laws, and empowerments to guide your organization’s digital transformation","[ Bill Schmarzo,  and , Dr. Kirk Borne]",17.84,17.84,260,4.2,96,59%,20%,11%,5%,6%,,,English,Packt Publishing,,/Economics-Data-Analytics-Digital-Transformation-ebook/dp/B08M3XPCHW/ref=sr_1_111?keywords=data+analysis&qid=1671164661&sr=8-111,https://www.amazon.com/Economics-Data-Analytics-Digital-Transformation-ebook/dp/B08M3XPCHW/ref=sr_1_111?keywords=data+analysis&qid=1671164661&sr=8-111
Statistics and Data Analysis Literacy for Nurses,"[ James B. Schreiber PhD,  and , Melanie Turk PhD  MSN  RN]",99.81, 80.00 - 99.81 ,360,,,,,,,,7.25 x 0.75 x 10.25 inches,1.33 pounds,English,Springer Publishing Company,978-0826165817,/Statistics-Data-Analysis-Literacy-Nurses/dp/0826165818/ref=sr_1_110?keywords=data+analysis&qid=1671164661&sr=8-110,https://www.amazon.com/Statistics-Data-Analysis-Literacy-Nurses/dp/0826165818/ref=sr_1_110?keywords=data+analysis&qid=1671164661&sr=8-110
The Data Governance Guidebook and Playbook: By a Practitioner for Practitioners,[ Kimberly Wienzierl],29.95, 24.69 - 29.95 ,118,4.3,18,57%,23%,12%,7%,,6 x 0.27 x 9 inches,6.1 ounces,English,Technics Publications,978-1634629621,/Data-Governance-Guidebook-Playbook-Practitioners/dp/1634629620/ref=sr_1_109?keywords=data+analysis&qid=1671164661&sr=8-109,https://www.amazon.com/Data-Governance-Guidebook-Playbook-Practitioners/dp/1634629620/ref=sr_1_109?keywords=data+analysis&qid=1671164661&sr=8-109
Qualitative Data Analysis: Practical Strategies,[ Pat Bazeley],54.08, 48.99 - 54.08 ,584,4.5,9,61%,24%,15%,,,7.32 x 1.32 x 9.13 inches,2.29 pounds,English,SAGE Publications Ltd,978-1526404763,/Qualitative-Data-Analysis-Practical-Strategies/dp/1526404761/ref=sr_1_112?keywords=data+analysis&qid=1671164661&sr=8-112,https://www.amazon.com/Qualitative-Data-Analysis-Practical-Strategies/dp/1526404761/ref=sr_1_112?keywords=data+analysis&qid=1671164661&sr=8-112
Big Data in Practice: How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,[ Bernard Marr],35.71, 30.68 - 35.71 ,320,4,127,56%,13%,13%,10%,8%,5.9 x 1.3 x 8.6 inches,1.02 pounds,English,Wiley,978-1119231387,/Big-Data-Practice-Successful-Extraordinary/dp/1119231388/ref=sr_1_108?keywords=data+analysis&qid=1671164661&sr=8-108,https://www.amazon.com/Big-Data-Practice-Successful-Extraordinary/dp/1119231388/ref=sr_1_108?keywords=data+analysis&qid=1671164661&sr=8-108
"Learning SQL: The Complete and Comprehensive Introduction to Creating, Managing and Analyzing Databases and Manipulating The Data Using SQL for Beginners",[ Chad Knowles],14.97,14.97,146,4.9,161,93%,6%,1%,,,6 x 0.33 x 9 inches,9.8 ounces,English,Independently published ,979-8359741125,/Learning-SQL-Comprehensive-Introduction-Manipulating/dp/B0BJY35191/ref=sr_1_107?keywords=data+analysis&qid=1671164661&sr=8-107,https://www.amazon.com/Learning-SQL-Comprehensive-Introduction-Manipulating/dp/B0BJY35191/ref=sr_1_107?keywords=data+analysis&qid=1671164661&sr=8-107
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)",,14.8, 14.21 - 14.80 ,155,4.4,334,67%,18%,9%,2%,3%,6 x 0.39 x 9 inches,8.3 ounces,• How to make better business decisions using ,Independently published ,978-1081762469,/Data-Analytics-Absolute-Beginners-Deconstructed/dp/1081762462/ref=sr_1_106?keywords=data+analysis&qid=1671164661&sr=8-106,https://www.amazon.com/Data-Analytics-Absolute-Beginners-Deconstructed/dp/1081762462/ref=sr_1_106?keywords=data+analysis&qid=1671164661&sr=8-106
Learning R: A Step-by-Step Function Guide to Data Analysis,[ Richard Cotton],40.99, 37.82 - 40.99 ,396,4.4,162,65%,23%,6%,2%,4%,7 x 0.82 x 9.19 inches,1.43 pounds,English,O'Reilly Media,978-1449357108,/Learning-Step-Step-Function-Analysis/dp/1449357105/ref=sr_1_105?keywords=data+analysis&qid=1671164661&sr=8-105,https://www.amazon.com/Learning-Step-Step-Function-Analysis/dp/1449357105/ref=sr_1_105?keywords=data+analysis&qid=1671164661&sr=8-105
"An Introduction to Data Analysis: Quantitative, Qualitative and Mixed Methods",[ Tiffany Bergin],48.25, 32.64 - 48.25 ,296,4.6,46,70%,22%,8%,,,6.69 x 0.67 x 9.53 inches,1.15 pounds,English,SAGE Publications Ltd,Regulating Alcohol around the World: Policy Cocktails,/Introduction-Data-Analysis-Quantitative-Qualitative/dp/144629515X/ref=sr_1_103?keywords=data+analysis&qid=1671164661&sr=8-103,https://www.amazon.com/Introduction-Data-Analysis-Quantitative-Qualitative/dp/144629515X/ref=sr_1_103?keywords=data+analysis&qid=1671164661&sr=8-103
Data Mesh: Delivering Data-Driven Value at Scale,[ Zhamak Dehghani],56.87,56.87,384,4.5,138,72%,14%,8%,6%,,6.75 x 1 x 9 inches,1.35 pounds,English,O'Reilly Media,-19%,/Data-Mesh-Delivering-Data-Driven-Value/dp/1492092398/ref=sr_1_102?keywords=data+analysis&qid=1671164661&sr=8-102,https://www.amazon.com/Data-Mesh-Delivering-Data-Driven-Value/dp/1492092398/ref=sr_1_102?keywords=data+analysis&qid=1671164661&sr=8-102
Quantitative Portfolio Management: The Art and Science of Statistical Arbitrage,[ Michael Isichenko],42.07, 33.00 - 42.07 ,304,4.1,40,63%,10%,12%,6%,9%,6.2 x 0.9 x 9.1 inches,1.37 pounds,English,Wiley,978-1119821328,/Quantitative-Portfolio-Management-Statistical-Arbitrage/dp/1119821320/ref=sr_1_101?keywords=data+analysis&qid=1671164661&sr=8-101,https://www.amazon.com/Quantitative-Portfolio-Management-Statistical-Arbitrage/dp/1119821320/ref=sr_1_101?keywords=data+analysis&qid=1671164661&sr=8-101
Data Governance For Dummies (For Dummies (Computer/tech)),[ Jonathan Reichental],34.99,34.99,288,,,,,,,,7.4 x 0.7 x 9.2 inches,13.6 ounces,English,For Dummies,978-1119906773,/Data-Governance-Dummies-Jonathan-Reichental/dp/1119906776/ref=sr_1_77?keywords=data+analysis&qid=1671164651&sr=8-77,https://www.amazon.com/Data-Governance-Dummies-Jonathan-Reichental/dp/1119906776/ref=sr_1_77?keywords=data+analysis&qid=1671164651&sr=8-77
"The Esri Guide to GIS Analysis, Volume 2: Spatial Measurements and Statistics",,32.99,32.99,288,4.7,19,80%,13%,7%,,,7.5 x 0.65 x 9.25 inches,1.45 pounds,English,Esri Press,978-1589486089,/Esri-Guide-GIS-Analysis-Measurements/dp/1589486080/ref=sr_1_80?keywords=data+analysis&qid=1671164651&sr=8-80,https://www.amazon.com/Esri-Guide-GIS-Analysis-Measurements/dp/1589486080/ref=sr_1_80?keywords=data+analysis&qid=1671164651&sr=8-80
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,[ Jim Frost],24.99,24.99,355,4.5,140,75%,13%,6%,4%,2%,6 x 0.8 x 9 inches,1.05 pounds,English,Statistics By Jim Publishing ,978-1735431185,/Regression-Analysis-Intuitive-Interpreting-Linear/dp/1735431184/ref=sr_1_79?keywords=data+analysis&qid=1671164651&sr=8-79,https://www.amazon.com/Regression-Analysis-Intuitive-Interpreting-Linear/dp/1735431184/ref=sr_1_79?keywords=data+analysis&qid=1671164651&sr=8-79
Business Analytics: Data Analysis & Decision Making (MindTap Course List),"[ S. Christian Albright,  and , Wayne L. Winston]",125.49, 55.29 - 125.49 ,984,4.5,95,75%,12%,7%,4%,3%,8.75 x 1.5 x 11 inches,3.53 ounces,English,Cengage Learning,978-0357109953,/Business-Analytics-Analysis-Decision-MindTap/dp/0357109953/ref=sr_1_78?keywords=data+analysis&qid=1671164651&sr=8-78,https://www.amazon.com/Business-Analytics-Analysis-Decision-MindTap/dp/0357109953/ref=sr_1_78?keywords=data+analysis&qid=1671164651&sr=8-78
"Data Analysis with IBM SPSS Statistics: Implementing Data Modeling, Descriptive Statistics and ANOVA","[ Kenneth Stehlik-Barry,  and , Anthony J. Babinec]",37.49,37.49,682,3.8,8,53%,23%,24%,,,,,English,Packt Publishing,,/Data-Analysis-IBM-SPSS-Statistics-ebook/dp/B0728K1C3F/ref=sr_1_75?keywords=data+analysis&qid=1671164651&sr=8-75,https://www.amazon.com/Data-Analysis-IBM-SPSS-Statistics-ebook/dp/B0728K1C3F/ref=sr_1_75?keywords=data+analysis&qid=1671164651&sr=8-75
The Kaggle Book: Data analysis and machine learning for competitive data science,"[ Konrad Banachewicz, Luca Massaron, et al.]",46.99,46.99,534,4.4,87,75%,9%,6%,6%,4%,7.5 x 1.21 x 9.25 inches,2 pounds,English,Packt Publishing ,978-1801817479,/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_74?keywords=data+analysis&qid=1671164651&sr=8-74,https://www.amazon.com/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_74?keywords=data+analysis&qid=1671164651&sr=8-74
"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks",[ Will Kurt],33.49, 29.70 - 33.49 ,256,4.6,486,75%,17%,4%,2%,1%,7 x 0.66 x 9.25 inches,1.1 pounds,English,No Starch Press,978-1593279561,/Bayesian-Statistics-Fun-Will-Kurt/dp/1593279566/ref=sr_1_76?keywords=data+analysis&qid=1671164651&sr=8-76,https://www.amazon.com/Bayesian-Statistics-Fun-Will-Kurt/dp/1593279566/ref=sr_1_76?keywords=data+analysis&qid=1671164651&sr=8-76
Statistics and Data Analysis for Nursing Research,[ Denise Polit],125.6, 33.30 - 125.60 ,456,4.3,242,67%,13%,9%,5%,6%,8 x 0.9 x 9.95 inches,1.5 pounds,English,Pearson, ,/Statistics-Data-Analysis-Nursing-Research/dp/0135085071/ref=sr_1_73?keywords=data+analysis&qid=1671164651&sr=8-73,https://www.amazon.com/Statistics-Data-Analysis-Nursing-Research/dp/0135085071/ref=sr_1_73?keywords=data+analysis&qid=1671164651&sr=8-73
Behavioral Data Analysis with R and Python: Customer-Driven Data for Real Business Results,[ Florent Buisson],37.74,37.74,360,4.3,16,60%,22%,9%,9%,,7 x 0.75 x 9.19 inches,1.26 pounds,English,O'Reilly Media,978-1492061373,/Behavioral-Data-Analysis-Python-Customer-Driven/dp/1492061379/ref=sr_1_72?keywords=data+analysis&qid=1671164651&sr=8-72,https://www.amazon.com/Behavioral-Data-Analysis-Python-Customer-Driven/dp/1492061379/ref=sr_1_72?keywords=data+analysis&qid=1671164651&sr=8-72
The Statistical Analysis of Functional MRI Data (Statistics for Biology and Health),,100.33, 28.47 - 100.33 ,313,5,2,100%,,,,,,,English,Springer,,/Statistical-Analysis-Functional-Statistics-Biology-ebook/dp/B001WAJXXM/ref=sr_1_71?keywords=data+analysis&qid=1671164651&sr=8-71,https://www.amazon.com/Statistical-Analysis-Functional-Statistics-Biology-ebook/dp/B001WAJXXM/ref=sr_1_71?keywords=data+analysis&qid=1671164651&sr=8-71
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization, 2nd Edition","[ Stefanie Molin,  and , Ken Jee]",35.67,35.67,788,4.3,70,66%,19%,5%,3%,7%,7.5 x 1.78 x 9.25 inches,2.93 pounds,English,Packt Publishing,978-1800563452,/Hands-Data-Analysis-Pandas-visualization/dp/1800563450/ref=sr_1_70?keywords=data+analysis&qid=1671164651&sr=8-70,https://www.amazon.com/Hands-Data-Analysis-Pandas-visualization/dp/1800563450/ref=sr_1_70?keywords=data+analysis&qid=1671164651&sr=8-70
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data Visualizations, ... Present Data Effectively (All Things Data)",,,,530,4.6,20,81%,11%,7%,,,,,English,,,/Data-Analytics-Visualization-Communicating-Visualizations-ebook/dp/B0BM1WP239/ref=sr_1_62?keywords=data+analysis&qid=1671164651&sr=8-62,https://www.amazon.com/Data-Analytics-Visualization-Communicating-Visualizations-ebook/dp/B0BM1WP239/ref=sr_1_62?keywords=data+analysis&qid=1671164651&sr=8-62
Data Visualization with Excel Dashboards and Reports,[ Dick Kusleika],22.99,22.99,352,4.4,87,61%,27%,4%,4%,4%,7.2 x 0.8 x 9 inches,1.27 pounds,English,Wiley,978-1119698722,/Data-Visualization-Excel-Dashboards-Reports/dp/1119698723/ref=sr_1_69?keywords=data+analysis&qid=1671164651&sr=8-69,https://www.amazon.com/Data-Visualization-Excel-Dashboards-Reports/dp/1119698723/ref=sr_1_69?keywords=data+analysis&qid=1671164651&sr=8-69
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"[ Peter Bruce, Andrew Bruce, et al.]",31.9,31.9,368,4.6,736,77%,13%,6%,2%,2%,7 x 0.9 x 9.1 inches,1.3 pounds,English,O'Reilly Media,978-1492072942,/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_63?keywords=data+analysis&qid=1671164651&sr=8-63,https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_63?keywords=data+analysis&qid=1671164651&sr=8-63
"Data Analysis: A Model Comparison Approach To Regression, ANOVA, and Beyond, Third Edition","[ Charles M. Judd, Gary H. McClelland, et al.]",68.62, 39.84 - 68.62 ,366,4.4,30,74%,5%,11%,5%,5%,7 x 0.86 x 10 inches,1.47 pounds,English,Routledge, ,/Data-Analysis-Comparison-Approach-Regression/dp/1138819832/ref=sr_1_64?keywords=data+analysis&qid=1671164651&sr=8-64,https://www.amazon.com/Data-Analysis-Comparison-Approach-Regression/dp/1138819832/ref=sr_1_64?keywords=data+analysis&qid=1671164651&sr=8-64
Applied Survival Analysis: Regression Modeling of Time-to-Event Data,"[ Stanley Lemeshow, Susanne May, et al.]",112.03,112.03,416,4.3,32,67%,18%,3%,6%,7%,6.1 x 1.1 x 9.3 inches,1.63 pounds,English,Wiley-Interscience, ,/Applied-Survival-Analysis-Time-Event/dp/0471754994/ref=sr_1_61?keywords=data+analysis&qid=1671164651&sr=8-61,https://www.amazon.com/Applied-Survival-Analysis-Time-Event/dp/0471754994/ref=sr_1_61?keywords=data+analysis&qid=1671164651&sr=8-61
Microsoft Excel: Advanced Microsoft Excel Data Analysis for Business,"[ John Slavio, Dave Wright, et al.]",,,,2.8,26,24%,10%,18%,18%,29%,,,,,,/Microsoft-Excel-Advanced-Analysis-Business/dp/B07RDMGJX3/ref=sr_1_60?keywords=data+analysis&qid=1671164651&sr=8-60,https://www.amazon.com/Microsoft-Excel-Advanced-Analysis-Business/dp/B07RDMGJX3/ref=sr_1_60?keywords=data+analysis&qid=1671164651&sr=8-60
PYTHON FOR DATA ANALYSIS: Master the Basics of Data Analysis in Python Using Numpy & Pandas: Answers all your Questions Step-by-Step (Programming for Beginners: A Friendly Q & A Guide Book 3),,,,62,4,37,54%,12%,25%,4%,6%,,,English,,,/PYTHON-DATA-ANALYSIS-Step-Step-ebook/dp/B07P689SZ3/ref=sr_1_59?keywords=data+analysis&qid=1671164651&sr=8-59,https://www.amazon.com/PYTHON-DATA-ANALYSIS-Step-Step-ebook/dp/B07P689SZ3/ref=sr_1_59?keywords=data+analysis&qid=1671164651&sr=8-59
